title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
AS DAWN BREAKS,"Breslin, Kate",Paperback,$15.99 ,$2.06 ,30,9.78076E+12,Bethany House,11/2/21,"8.07"" l x 5.14"" w x 1.19""","['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764237485B/as-dawn-breaks
AS LONG AS YOU LOVE ME,"Leal, Marianna",Paperback,$17.99 ,$3.00 ,356,9.78199E+12,Wattpad Books,9/12/23,"8.25"" l x 5.24"" w x 0.90""","['Fiction', 'Romance', 'Fiction', 'Cultural Heritage']",https://www.bookdepot.com/Store/Details/9781990778346B/as-long-as-you-love-me
ASKING FOR TROUBLE,"Young, Elizabeth",Paperback,$16.99 ,$3.00 ,2,9.78038E+12,Avon Books,9/1/01,"8.02"" l x 5.34"" w x 1.05""","['Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780380818976B/asking-for-trouble
"ASPEN CROSSROADS (WHISPER CANYON ROMANCE, BK. 1)","Rosche, Janine",Pocket Books,$7.99 ,$1.00 ,37,9.78059E+12,Berkley Publishing Group,8/10/21,"6.68"" l x 4.08"" w x 1.08""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780593335758B/aspen-crossroads-whisper-canyon-romance-bk-1
"AT FIRST SIGHT (JEREMY MARSH & LEXIE DARNELL, BK.2)","Sparks, Nicholas",Paperback,$18.99 ,$3.25 ,1000+,9.78154E+12,Grand Central Publishing,2/6/24,"8.00"" l x 5.23"" w x 0.96""","['Fiction', 'Romance', 'Fiction', 'Literary']",https://www.bookdepot.com/Store/Details/9781538766873B/at-first-sight-jeremy-marsh-lexie-darnell-bk2
"AT LIGHTHOUSE POINT (THREE SISTERS ISLAND, BK. 2)","Fisher, Suzanne Woods",Paperback,$15.99 ,$2.75 ,1,9.7808E+12,Revell,5/4/21,"8.44"" l x 5.51"" w x 0.89""","['Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780800735005B/at-lighthouse-point-three-sisters-island-bk-2
AT SEA,"Fedor, Emma",Hardcover,$27.99 ,$3.75 ,1000+,9.78198E+12,Gallery Books,3/7/23,"9.27"" l x 6.22"" w x 1.23""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781982171544B/at-sea
THE AU PAIR,"Rous, Emma",Pocket Books,$9.99 ,$1.25 ,20,9.78059E+12,Berkley Hills Books,7/7/20,"7.08"" l x 3.63"" w x 1.01""","['Fiction', 'Suspense', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593199954B/the-au-pair
"AUTUMN GRACE (A SEASON NOVEL, BK. 2)","Ellis, Marianne",Pocket Books,$7.99 ,$1.00 ,97,9.78059E+12,Berkley Publishing Group,9/7/21,"6.77"" l x 4.13"" w x 0.91""","['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593334898B/autumn-grace-a-season-novel-bk-2
"THE AWAKENING (THE DRAGON HEART LEGACY, BK. 1)","Roberts, Nora",Compact Disc,$29.99 ,$5.00 ,4,9.78125E+12,Macmillan Audio,11/24/20,"5.87"" l x 5.10"" w x 0.63""","['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250770295B/the-awakening-the-dragon-heart-legacy-bk-1
