begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2023-07-25T00:00:00Z,129.310000,129.130000,129.580000,128.530000,39236663,reg,False,AMZN
2023-07-26T00:00:00Z,126.510000,128.150000,129.080000,126.110000,53910087,reg,False,AMZN
2023-07-27T00:00:00Z,131.000000,128.250000,132.630000,127.790000,52610661,reg,False,AMZN
2023-07-28T00:00:00Z,129.690000,132.210000,133.010000,129.330000,46317381,reg,False,AMZN
2023-07-31T00:00:00Z,133.200000,133.730000,133.870000,132.380000,41901516,reg,False,AMZN
2023-08-01T00:00:00Z,133.550000,131.690000,133.690000,131.619900,42298925,reg,False,AMZN
2023-08-02T00:00:00Z,130.154000,128.210000,130.230000,126.820000,51027614,reg,False,AMZN
2023-08-03T00:00:00Z,127.480000,128.910000,129.840000,126.410000,91163736,reg,False,AMZN
2023-08-04T00:00:00Z,141.060000,139.570000,143.630000,139.320000,153128470,reg,False,AMZN
2023-08-07T00:00:00Z,140.990000,142.220000,142.540000,138.950000,71213112,reg,False,AMZN
2023-08-08T00:00:00Z,140.620000,139.940000,140.840000,138.420000,51710497,reg,False,AMZN
2023-08-09T00:00:00Z,139.970000,137.850000,140.320000,137.100000,50017349,reg,False,AMZN
2023-08-10T00:00:00Z,139.075000,138.560000,140.410000,137.490000,58928402,reg,False,AMZN
2023-08-11T00:00:00Z,137.400000,138.410000,139.330000,137.000000,42905833,reg,False,AMZN
2023-08-14T00:00:00Z,138.300000,140.570000,140.590000,137.750000,47148699,reg,False,AMZN
2023-08-15T00:00:00Z,140.050000,137.670000,141.277800,137.230000,42781521,reg,False,AMZN
2023-08-16T00:00:00Z,137.190000,135.070000,137.270000,135.010000,41675903,reg,False,AMZN
2023-08-17T00:00:00Z,135.460000,133.980000,136.085000,133.530000,48354085,reg,False,AMZN
2023-08-18T00:00:00Z,131.620000,133.220000,134.065000,131.150000,48497698,reg,False,AMZN
2023-08-21T00:00:00Z,133.740000,134.680000,135.185000,132.710000,41442483,reg,False,AMZN
2023-08-22T00:00:00Z,135.080000,134.250000,135.650000,133.730000,32935104,reg,False,AMZN
2023-08-23T00:00:00Z,134.500000,135.520000,135.950000,133.220000,42801043,reg,False,AMZN
2023-08-24T00:00:00Z,136.400000,131.840000,136.775000,131.830000,43646250,reg,False,AMZN
2023-08-25T00:00:00Z,132.470000,133.260000,133.870000,130.580000,44147451,reg,False,AMZN
2023-08-28T00:00:00Z,133.780000,133.140000,133.950000,131.850000,34108410,reg,False,AMZN
2023-08-29T00:00:00Z,133.380000,134.910000,135.140000,133.250000,38646093,reg,False,AMZN
2023-08-30T00:00:00Z,134.930000,135.070000,135.680000,133.920000,36137015,reg,False,AMZN
2023-08-31T00:00:00Z,135.060000,138.010000,138.788500,135.000000,58781314,reg,False,AMZN
2023-09-01T00:00:00Z,139.455000,138.120000,139.960000,136.875000,40991536,reg,False,AMZN
2023-09-05T00:00:00Z,137.730000,137.270000,137.800000,135.820000,40636738,reg,False,AMZN
2023-09-06T00:00:00Z,136.320000,135.360000,137.450000,134.610000,41785507,reg,False,AMZN
2023-09-07T00:00:00Z,133.900000,137.850000,138.030000,133.160000,48498912,reg,False,AMZN
2023-09-08T00:00:00Z,136.860000,138.230000,138.851900,136.750000,38365929,reg,False,AMZN
2023-09-11T00:00:00Z,138.750000,143.100000,143.620000,138.640000,56764525,reg,False,AMZN
2023-09-12T00:00:00Z,142.320000,141.230000,143.000000,140.610000,42668452,reg,False,AMZN
2023-09-13T00:00:00Z,140.950000,144.850000,144.980000,140.865000,60465175,reg,False,AMZN
2023-09-14T00:00:00Z,145.080000,144.720000,145.860000,142.950000,64033607,reg,False,AMZN
2023-09-15T00:00:00Z,142.690000,140.390000,143.570000,140.090000,102909327,reg,False,AMZN
2023-09-18T00:00:00Z,140.480000,139.980000,141.750000,139.220000,42823480,reg,False,AMZN
2023-09-19T00:00:00Z,138.700000,137.630000,138.840000,135.560000,61482470,reg,False,AMZN
2023-09-20T00:00:00Z,138.550000,135.290000,139.370000,135.200000,46263716,reg,False,AMZN
2023-09-21T00:00:00Z,131.940000,129.330000,132.240000,129.310000,70343342,reg,False,AMZN
